url,name,brand,price,year,origin,transmission,body_type,engine,drive,mileage_km,seats,doors,exterior_color,interior_color,condition
https://bonbanh.com/xe-lexus-lx-600-urban-2023-6303117,Lexus LX Urban,Lexus,8 Tỷ 550 Triệu,2023,Nhập khẩu,Số tự động,SUV,Xăng 3.4 L,AWD - 4 bánh toàn thời gian,20000,7,5,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-lexus-rx-300-2021-6010478,Lexus RX,Lexus,2 Tỷ 930 Triệu,2021,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,59000,5,5,Vàng,Nâu,Xe đã dùng
https://bonbanh.com/xe-mazda-cx9-3.7-at-awd-2013-6279585,Mazda CX9,Mazda,389 Triệu,2013,Nhập khẩu,Số tự động,SUV,Xăng 3.7 L,AWD - 4 bánh toàn thời gian,120000,7,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-hiace-2.7-2008-6386937,Toyota Hiace,Toyota,155 Triệu,2008,Lắp ráp trong nước,Số tay,Van/Minivan,Xăng 2.7 L,RFD - Dẫn động cầu sau,123,6,5,Đỏ,Kem,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-s_class-s500l-2011-6094010,Mercedes Benz S class S500L,Mercedes,835 Triệu,2011,Nhập khẩu,Số tự động,Sedan,Xăng 4.7 L,RFD - Dẫn động cầu sau,60000,5,4,Đen,Kem,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2022-6271838,Mercedes Benz G class G63 AMG,Mercedes,9 Tỷ 999 Triệu,2022,Nhập khẩu,Số tự động,SUV,Xăng 4.0 L,AWD - 4 bánh toàn thời gian,17500,5,5,Đen,Đỏ,Xe đã dùng
https://bonbanh.com/xe-lexus-gx-460-2010-6374074,Lexus GX,Lexus,1 Tỷ 290 Triệu,2010,Nhập khẩu,Số tự động,SUV,Xăng 4.6 L,AWD - 4 bánh toàn thời gian,120000,7,5,Cát,Kem,Xe đã dùng
https://bonbanh.com/xe-mazda-3-1.5-at-2016-6380288,Mazda,Mazda,375 Triệu,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.5 L,FWD - Dẫn động cầu trước,80000,5,4,Xanh,Đen,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-glc-300-coupe-4matic-2019-6093862,Mercedes Benz GLC Coupe 4Matic,Mercedes,1 Tỷ 579 Triệu,2019,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,93000,5,5,Nâu,Kem,Xe đã dùng
https://bonbanh.com/xe-volvo-xc90-t6-inscription-2018-6295294,Volvo XC90 T6 Inscription,Volvo,1 Tỷ 739 Triệu,2018,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,70000,7,5,Nâu,Nâu,Xe đã dùng
